Ваш возраст;Ваш Пол;На каком вы курсе;Ваше отношение к учебе :;Есть ли у вас хобби, и если есть то какое ?;Укажите ваше среднее экранное время в часах(!) в рабочие дни :;Укажите ваше среднее экранное время в часах(!) по выходным :;работаете ли вы ?;Считаете ли вы себя зависимым от гаджетов ?;Занимаетесь ли вы спортом?;"""Спортивный"" ли вы человек ?";Каким гаджетом вы пользуетесь чаще всего ?;Какими категориями приложений вы пользуетесь чаще всего?;Отвлекают ли вас уведомления от дел?;"Пользуетесь ли вы режимом ""не беспокоить""?";Ведете ли вы конспекты в тетрадях?;Ведете ли вы конспекты в планшетах/ноутбуке?;Много ли у вас свободного времени?;Общительный ли вы человек ?;Часто ли вы смотрите контент связанный с учебой?;Часто ли вы смотрите развлекательный контент ?;Каков ваш средний балл?;Ваше место учебы?;Как часто вы берете с собой в вуз зарядку или повербанк?;"Спустя какое время, после того как вы отвлеклись вы возвращаетесь к делам?
Напишите примерное время в минутах"
22;М;5 спец;8;Игра на музыкальных инструментах;5;7;да;6;да;7;Компьютер;Видеохостинг, Музыка;3;6;1;6;1;2;6;7;4.5-5.0;МГУ;1;2
20;М;3 спец;0;Теннис;5;3;да;3;да;9;Телефон;Соцсети, Видеохостинг;8;0;0;2;2;7;0;7;3.0-3.5;Другой ВУЗ;4;2
19;М;2 спец;9;спорт, редко рисование, музыка;3;3;да;10;да;9;ноутбук;Соцсети, Видеохостинг, Музыка;9;8;10;5;2;7;7;2;4.5-5.0;МГУ;10;20
21;Ж;4 спец;8;Спорт, танцы, чтение;7;5;нет;7;да;9;Телефон;Соцсети;8;10;0;8;6;7;3;9;4.5-5.0;МГУ;6;5
21;М;6 спец;7;-;9;10;нет;7;нет;2;Телефон;Соцсети, Видеохостинг, Музыка, Игры;10;3;7;2;3;6;1;8;4.0-4.5;МГУ;10;70
20;М;1 спец;7;-;8;5;нет;7;нет;2;Телефон;Соцсети, Видеохостинг, Музыка, Игры;10;3;7;2;3;6;2;8;4.0-4.5;МГУ;10;10
22;Ж;2 спец;5;-;9;9;да;8;нет;2;ноутбук;Соцсети, Видеохостинг, Музыка, Игры;8;5;3;3;4;8;3;9;4.5-5.0;МГУ;9;15
23;Ж;2 спец;8;-;7;4;да;9;да;7;ноутбук;Соцсети, Видеохостинг, Музыка, Игры;5;3;5;2;2;7;1;7;4.0-4.5;МГУ;7;12
24;Ж;2 спец;9;-;9;7;да;7;да;5;Телефон;Соцсети, Видеохостинг, Музыка, Игры;7;2;8;4;4;9;4;9;3.0-3.5;МГУ;8;15
21;М;3 спец;4;-;8;8;нет;8;да;4;Телефон;Соцсети, Видеохостинг, Музыка, Игры;8;5;4;2;5;5;3;8;3.0-3.5;МГУ;9;10
